time, seq_cnt, nlos, distance, azimuth, azimuth_fom, elevation, elevation_fom, pdoa1, pdoa2,,
22:44.1,306,1,119,38.9,100,-60,100,-98.5,-124.3,,
22:44.7,307,1,118,25.2,100,-60,100,-78,-125.6,,
22:45.2,308,1,122,39.1,100,-60,100,-98.8,-126,,
22:45.7,309,1,122,39.2,100,-60,100,-99,-124.4,,
22:46.2,310,0,118,38.1,100,-60,100,-97,-122.3,,
22:46.6,311,0,129,32.6,100,-60,100,-88.3,-122.2,,
22:47.2,312,1,123,27.1,100,-60,100,-80.7,-124,,
22:47.7,313,0,129,32.4,100,-60,100,-88,-123,,
22:48.2,314,0,124,30.1,100,-60,100,-84.8,-123.1,,
22:48.7,315,0,128,32.6,100,-59.2,100,-88.2,-120.9,,
22:49.2,316,0,127,39.1,100,-60,100,-98.8,-122.5,,
22:49.7,317,1,127,33.2,100,-60,100,-89.1,-122.6,,
22:50.2,318,1,120,38.2,100,-60,100,-97.1,-121.2,,
22:50.7,319,0,128,39.5,100,-60,100,-99.7,-118.9,,
22:51.2,320,1,121,41,100,-60,100,-102.4,-127.6,,
22:51.7,321,1,124,42.2,100,-60,100,-104.7,-120,,
22:52.2,322,1,124,39.4,100,-60,100,-99.3,-122.8,,
22:52.7,323,0,122,35,100,-60,100,-91.7,-124,,
22:53.2,324,1,120,40.5,100,-60,100,-101.4,-121,,
22:53.6,325,1,117,38.1,100,-60,100,-97,-124.5,,
22:54.2,326,1,118,32.2,100,-59.1,100,-87.6,-120.8,,
22:54.7,327,0,120,33.9,100,-59.5,100,-90,-121.3,,
22:55.2,328,1,124,29.6,100,-58.8,100,-83.7,-120.4,,
22:55.7,329,1,127,29.1,100,-59.3,100,-83.2,-121.1,,
22:56.2,330,1,124,33.9,100,-59,100,-90,-120.7,,
22:56.7,331,0,127,34.6,100,-60,100,-91,-123.9,,Çê
22:57.2,332,1,121,40.2,100,-60,100,-100.8,-120.1,,
22:57.7,333,0,121,36.7,100,-60,100,-94.4,-119.9,,
,,,,,,,,,,,
,,93,,,,,,,,,
