time, seq_cnt, nlos, distance, azimuth, azimuth_fom, elevation, elevation_fom, rssi, pdoa1, pdoa2
2025-12-18 16:58:08.153,213,0,99,-17.5,100,-60.0,100,-80.5,45.5,-100.9
2025-12-18 16:58:08.353,214,0,99,-17.1,100,-60.0,100,-80.0,44.5,-101.7
2025-12-18 16:58:08.543,215,0,93,-18.1,100,-55.1,100,-80.5,45.1,-94.3
2025-12-18 16:58:08.748,216,0,95,-21.6,100,-53.9,100,-80.5,53.2,-94.3
2025-12-18 16:58:08.948,217,0,98,-18.6,100,-55.1,100,-79.5,46.3,-94.5
2025-12-18 16:58:09.153,218,0,94,-17.2,100,-60.0,100,-80.0,44.6,-98.4
2025-12-18 16:58:09.343,219,0,95,-17.7,100,-55.6,100,-80.0,44.2,-94.5
2025-12-18 16:58:09.539,220,0,97,-17.7,100,-58.2,100,-81.0,45.3,-97.1
2025-12-18 16:58:09.749,221,0,95,-20.8,100,-56.4,100,-80.0,52.1,-97.5
2025-12-18 16:58:09.944,222,0,96,-20.2,100,-56.5,100,-80.5,50.6,-97.2
2025-12-18 16:58:10.144,223,0,95,-18.9,100,-56.6,100,-80.0,47.4,-96.4
2025-12-18 16:58:10.344,224,0,96,-18.6,100,-55.5,100,-80.0,46.5,-94.9
2025-12-18 16:58:10.544,225,0,100,-17.5,100,-57.4,100,-80.5,44.5,-96.1
2025-12-18 16:58:10.749,226,0,103,-18.3,100,-54.9,100,-79.5,45.4,-94.1
2025-12-18 16:58:10.954,227,0,94,-18.8,100,-57.9,100,-79.5,47.8,-102.7
2025-12-18 16:58:11.149,228,0,97,-20.4,100,-53.4,100,-80.0,50.0,-93.1
2025-12-18 16:58:11.354,229,0,98,-18.0,100,-55.6,100,-79.5,45.0,-94.7
2025-12-18 16:58:11.554,230,0,95,-18.6,100,-58.0,100,-80.0,47.5,-97.7
2025-12-18 16:58:11.754,231,0,98,-17.6,100,-58.5,100,-80.0,45.2,-97.3
2025-12-18 16:58:11.954,232,0,98,-17.8,100,-57.8,100,-81.0,45.4,-96.8
2025-12-18 16:58:12.149,233,0,97,-18.2,100,-57.4,100,-80.0,46.2,-96.8
2025-12-18 16:58:12.354,234,0,98,-17.9,100,-55.7,100,-80.0,44.7,-94.7
2025-12-18 16:58:12.553,235,0,100,-18.2,100,-55.2,100,-80.0,45.1,-94.3
2025-12-18 16:58:12.754,236,0,102,-19.6,100,-52.0,100,-80.0,47.4,-91.2
2025-12-18 16:58:12.954,237,0,100,-18.5,100,-53.7,100,-79.5,45.3,-92.8
2025-12-18 16:58:13.154,238,0,96,-17.9,100,-58.0,100,-80.0,45.7,-97.1
2025-12-18 16:58:13.354,239,0,95,-19.3,100,-57.0,100,-79.0,48.6,-97.2
2025-12-18 16:58:13.549,240,0,102,-18.0,100,-59.8,100,-80.0,46.6,-99.0
2025-12-18 16:58:13.754,241,0,97,-18.2,100,-53.1,100,-80.0,44.2,-92.1
2025-12-18 16:58:13.954,242,0,95,-18.7,100,-55.8,100,-80.0,46.8,-95.3
2025-12-18 16:58:14.154,243,0,99,-18.8,100,-51.3,100,-80.5,45.0,-90.2
2025-12-18 16:58:14.354,244,0,98,-17.4,100,-57.9,100,-80.0,44.4,-96.5
2025-12-18 16:58:14.554,245,0,98,-19.0,100,-54.3,100,-80.5,46.8,-93.7
2025-12-18 16:58:14.754,246,0,98,-18.0,100,-55.1,100,-81.0,44.7,-94.1
2025-12-18 16:58:14.949,247,0,99,-19.2,100,-54.6,100,-80.0,47.5,-94.2
2025-12-18 16:58:15.154,248,0,97,-18.9,100,-59.1,100,-79.5,48.2,-99.2
2025-12-18 16:58:15.353,249,0,92,-20.4,100,-55.5,100,-79.0,50.9,-96.0
2025-12-18 16:58:15.554,250,0,96,-17.4,100,-57.5,100,-80.0,44.1,-96.1
2025-12-18 16:58:15.753,251,0,99,-19.1,100,-53.1,100,-81.0,46.4,-92.4
2025-12-18 16:58:15.954,252,0,98,-18.1,100,-56.8,100,-80.5,45.8,-96.0
2025-12-18 16:58:16.154,253,0,103,-19.8,100,-55.3,100,-81.0,49.1,-95.3
2025-12-18 16:58:16.354,254,0,98,-19.5,100,-55.9,100,-81.0,48.7,-95.9
2025-12-18 16:58:16.554,255,0,101,-18.1,100,-57.5,100,-80.0,46.0,-96.7
2025-12-18 16:58:16.754,256,0,97,-16.9,100,-60.0,100,-80.5,44.0,-98.9
2025-12-18 16:58:16.954,257,0,94,-17.4,100,-59.6,100,-80.0,45.2,-98.2
2025-12-18 16:58:17.154,258,0,97,-17.2,100,-58.5,100,-80.0,44.1,-96.9
2025-12-18 16:58:17.354,259,0,100,-18.5,100,-55.0,100,-80.0,46.0,-94.3
2025-12-18 16:58:17.554,260,0,95,-18.6,100,-58.2,100,-79.5,47.4,-98.0
2025-12-18 16:58:17.754,261,0,101,-19.7,100,-58.6,100,-80.0,50.2,-99.6
2025-12-18 16:58:17.954,262,0,92,-17.9,100,-56.5,100,-80.0,45.1,-95.5
2025-12-18 16:58:18.154,263,0,93,-18.6,100,-56.8,100,-79.5,47.0,-96.4
2025-12-18 16:58:18.354,264,0,98,-20.3,100,-54.5,100,-81.5,50.2,-94.7
2025-12-18 16:58:18.553,265,0,95,-19.3,100,-52.4,100,-80.0,46.8,-91.5
2025-12-18 16:58:18.753,266,0,91,-17.5,100,-56.6,100,-80.0,44.2,-95.3
2025-12-18 16:58:18.954,267,0,98,-18.1,100,-54.2,100,-80.5,44.5,-93.3
2025-12-18 16:58:19.154,268,0,99,-19.0,100,-54.7,100,-80.5,46.8,-94.2
2025-12-18 16:58:19.354,269,0,94,-19.9,100,-55.0,100,-79.5,49.3,-95.0
2025-12-18 16:58:19.554,270,0,95,-17.5,100,-58.3,100,-80.5,44.8,-97.0
2025-12-18 16:58:19.754,271,0,96,-17.5,100,-59.2,100,-79.5,45.2,-97.9
2025-12-18 16:58:19.954,272,0,99,-17.6,100,-56.6,100,-79.5,44.3,-95.3
2025-12-18 16:58:20.154,273,0,93,-17.5,100,-59.1,100,-80.0,45.1,-97.8
2025-12-18 16:58:20.354,274,0,95,-20.9,100,-53.4,100,-81.0,51.2,-93.2
2025-12-18 16:58:20.554,275,0,104,-19.1,100,-55.0,100,-80.5,47.3,-94.6
2025-12-18 16:58:20.754,276,0,94,-20.1,100,-54.5,100,-80.0,49.6,-94.5
